City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Santa Cruz Del Sur,CU,80.28,scattered clouds,20.7147,-77.9956,
407,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
413,Bambanglipuro,ID,75.42,scattered clouds,-7.95,110.2833,Puri Brata
417,Da Nang,VN,80.58,clear sky,16.0678,108.2208,Grand Mercure Danang
418,Rock Sound,BS,82.69,clear sky,24.9,-76.2,Pink Corral Bay Property
420,Dispur,IN,80.55,overcast clouds,26.1425,91.7889,Novotel Guwahati GS Road Hotel
423,Kudahuvadhoo,MV,82.04,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
425,Kashi,CN,77.61,clear sky,39.4547,75.9797,帕米尔青年旅舍
426,Hirara,JP,84.81,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
432,Nouakchott,MR,77.27,broken clouds,18.0858,-15.9785,HOTEL IMAN
435,Mazagao,BR,84.25,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
